episode,delay,fidelity
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,200,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
1,400,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,0,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,50,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,100,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,200,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
2,400,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,0,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,50,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,100,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,200,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
3,400,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,0,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,50,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,100,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,200,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
4,400,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,0,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,50,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,100,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,200,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
5,400,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,0,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,50,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,100,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,200,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
6,400,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,0,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,50,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,100,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,200,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
7,400,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,0,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,50,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,100,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,200,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
8,400,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,0,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,50,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,100,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,200,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
9,400,1.0
